03:24:45 total=3.0 bench=2.1 foreign=0.9
03:24:50 total=5.6 bench=4.4 foreign=1.2
03:24:55 total=2.3 bench=1.0 foreign=1.3
03:25:00 total=40.3 bench=40.1 foreign=0.1
03:25:05 total=4.8 bench=3.2 foreign=1.6
03:25:10 total=2.0 bench=1.0 foreign=1.0
03:25:15 total=2.1 bench=1.0 foreign=1.1
03:25:20 total=7.1 bench=6.7 foreign=0.4
03:25:25 total=32.5 bench=31.1 foreign=1.4
03:25:30 total=25.4 bench=24.5 foreign=0.9
03:25:35 total=33.1 bench=32.7 foreign=0.4
03:25:41 total=24.3 bench=22.8 foreign=1.5
03:25:46 total=27.9 bench=27.1 foreign=0.8
03:25:51 total=21.5 bench=-2324.1 foreign=2345.6
03:25:56 total=0.9 bench=0.0 foreign=0.9
03:26:01 total=0.9 bench=0.0 foreign=0.9
03:26:06 total=0.9 bench=0.0 foreign=0.9
03:26:11 total=0.9 bench=0.0 foreign=0.9
03:26:16 total=1.3 bench=0.0 foreign=1.3
03:26:21 total=1.0 bench=0.0 foreign=1.0
03:26:26 total=0.9 bench=0.0 foreign=0.9
03:26:31 total=0.9 bench=0.0 foreign=0.9
03:26:36 total=0.9 bench=0.0 foreign=0.9
03:26:41 total=0.9 bench=0.0 foreign=0.9
